iter	Accuracy	MultiClass
410	0.9716498605	0.08587584145
411	0.971674922	0.08585090475
412	0.9717139716	0.08580749207
413	0.9717303189	0.08577007093
414	0.9717501519	0.08574714627
415	0.9718452148	0.08570447591
416	0.9718918521	0.08566840162
417	0.9718989754	0.08562601245
418	0.9718861137	0.08558609027
419	0.9717998103	0.08553960104
420	0.9718621786	0.08550963174
421	0.9718475741	0.08544550684
422	0.9718451695	0.08540776676
423	0.9719017993	0.08537797409
424	0.9718948279	0.08534709809
425	0.9719573864	0.08530711797
426	0.9719212061	0.0852773954
427	0.9719194633	0.08525818543
428	0.9719467775	0.08522517169
429	0.9719460545	0.08517709145
430	0.9719449281	0.08514723985
431	0.9719991987	0.08510991971
432	0.9720085746	0.08507919934
433	0.9720022197	0.08503053621
434	0.9720190317	0.08497524384
435	0.9720884778	0.08493514899
436	0.9720680283	0.08490935263
437	0.9721047186	0.084871601
438	0.9721262944	0.08481846312
439	0.9721788221	0.08476858769
440	0.9722137242	0.08473368778
441	0.9721716989	0.08467895136
442	0.9722078792	0.08462386043
443	0.9721997815	0.08460284799
444	0.9722348354	0.08457002475
445	0.9722754531	0.08447986877
446	0.97226782	0.08444414268
447	0.9722887794	0.08440614502
448	0.9722734065	0.08435811232
449	0.9723496563	0.0843173487
450	0.9723642608	0.08429189908
451	0.9724085388	0.08425301154
452	0.972423098	0.08421906893
453	0.972437809	0.08419369756
454	0.9724308377	0.08415367343
455	0.9724600013	0.08412214079
456	0.9724046044	0.08408594198
457	0.9723824121	0.08406352474
458	0.9724567672	0.08401374914
459	0.9724275582	0.08394258561
460	0.9724117207	0.08391195199
461	0.9724221778	0.08388795016
462	0.9724420108	0.08385370865
463	0.9724594845	0.08383549975
464	0.9724880317	0.08379485759
465	0.972470558	0.08374595364
466	0.9725492735	0.08370843271
467	0.9725900659	0.08367415141
468	0.9725789471	0.08365710121
469	0.9726157439	0.08360723722
470	0.9726349604	0.08355908253
471	0.9726022658	0.08353895608
472	0.9725737186	0.08349969958
473	0.9726140011	0.08346068966
474	0.9726227153	0.08342791426
475	0.9726156986	0.0833755163
476	0.9726104701	0.08335081062
477	0.9726203106	0.08330440581
478	0.9727277253	0.08325191563
479	0.9727078922	0.08322550017
480	0.9726920548	0.0831801613
481	0.972700769	0.08316778979
482	0.9727445372	0.08313984026
483	0.9727789747	0.08309527122
